18:30:32 INF [API] listening addr=127.0.0.1:34103
18:30:32 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
18:30:32 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:60008 rAddr=api.github.com:443 proxy=DIRECT
18:30:32 INF [Config] initial compatible provider name=🔰 选择节点
18:30:32 INF [Config] initial compatible provider name=🐟 漏网之鱼
18:30:32 INF [Config] initial compatible provider name=📺 动画疯
18:30:32 INF [Config] initial compatible provider name=☁️ Cloudflare
18:30:32 INF [Config] initial compatible provider name=🎮 Steam 客户端地区
18:30:32 INF [Config] initial compatible provider name=🌏 爱奇艺&哔哩哔哩
18:30:32 INF [Config] initial compatible provider name=🇨🇳 国内网站
18:30:32 INF [Config] initial compatible provider name=🛑 拦截广告
18:30:43 INF [TCP] connected lAddr=127.0.0.1:60762 rAddr=clientservices.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60780 rAddr=accounts.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60790 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60774 rAddr=www.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60824 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60802 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60828 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60808 rAddr=history.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:44 INF [TCP] connected lAddr=127.0.0.1:60844 rAddr=clients4.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:45 INF [TCP] connected lAddr=127.0.0.1:33068 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:45 INF [TCP] connected lAddr=127.0.0.1:33086 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:45 INF [TCP] connected lAddr=127.0.0.1:33080 rAddr=mtalk.google.com:5228 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:46 INF [TCP] connected lAddr=127.0.0.1:33094 rAddr=clients4.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:48 INF [TCP] connected lAddr=127.0.0.1:33098 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:48 INF [TCP] connected lAddr=127.0.0.1:33114 rAddr=ogs.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:30:49 INF [TCP] connected lAddr=127.0.0.1:33126 rAddr=www.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
