14:15:16 INF [API] listening addr=127.0.0.1:40787
14:15:16 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
14:15:16 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:39772 rAddr=api.github.com:443 proxy=DIRECT
14:15:16 INF [Config] initial compatible provider name=🐟 漏网之鱼
14:15:16 INF [Config] initial compatible provider name=🛑 拦截广告
14:15:16 INF [Config] initial compatible provider name=🎮 Steam 商店/社区
14:15:16 INF [Config] initial compatible provider name=🇨🇳 国内网站
14:15:16 INF [Config] initial compatible provider name=🎮 Steam 登录/下载
14:15:16 INF [Config] initial compatible provider name=🔰 选择节点
14:15:16 INF [Config] initial compatible provider name=🌏 爱奇艺&哔哩哔哩
14:15:16 INF [Config] initial compatible provider name=☁️ Cloudflare
14:15:16 INF [Config] initial compatible provider name=📺 动画疯
14:15:19 INF [TCP] connected lAddr=127.0.0.1:39788 rAddr=clientservices.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:20 INF [TCP] connected lAddr=127.0.0.1:39800 rAddr=accounts.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:20 INF [TCP] connected lAddr=127.0.0.1:39804 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:20 INF [TCP] connected lAddr=127.0.0.1:39808 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:20 INF [TCP] connected lAddr=127.0.0.1:39820 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:20 INF [TCP] connected lAddr=127.0.0.1:39826 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:20 INF [TCP] connected lAddr=127.0.0.1:39842 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:21 INF [TCP] connected lAddr=127.0.0.1:39854 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:21 INF [TCP] connected lAddr=127.0.0.1:39872 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:21 INF [TCP] connected lAddr=127.0.0.1:39878 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:21 INF [TCP] connected lAddr=127.0.0.1:39860 rAddr=mtalk.google.com:5228 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:22 INF [TCP] connected lAddr=127.0.0.1:39892 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:15:32 INF [TCP] connected lAddr=127.0.0.1:34082 rAddr=optimizationguide-pa.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:19 INF [TCP] connected lAddr=127.0.0.1:33910 rAddr=clientservices.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:19 INF [TCP] connected lAddr=127.0.0.1:33922 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:20 INF [TCP] connected lAddr=127.0.0.1:33936 rAddr=redirector.gvt1.com:80 mode=rule rule=DomainSuffix(gvt1.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:21 INF [TCP] connected lAddr=127.0.0.1:33952 rAddr=r4---sn-a5mlrnek.gvt1.com:80 mode=rule rule=DomainSuffix(gvt1.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:21 INF [TCP] connected lAddr=127.0.0.1:33952 rAddr=r4---sn-a5mlrnek.gvt1.com:80 mode=rule rule=DomainSuffix(gvt1.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:23 INF [TCP] connected lAddr=127.0.0.1:33954 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:23 INF [TCP] connected lAddr=127.0.0.1:33958 rAddr=clientservices.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:16:24 INF [TCP] connected lAddr=127.0.0.1:56536 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:00 INF [TCP] connected lAddr=127.0.0.1:50704 rAddr=optimizationguide-pa.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:00 INF [TCP] connected lAddr=127.0.0.1:50714 rAddr=accounts.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:00 INF [TCP] connected lAddr=127.0.0.1:50726 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:00 INF [TCP] connected lAddr=127.0.0.1:50728 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:02 INF [TCP] connected lAddr=127.0.0.1:50748 rAddr=www.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:02 INF [TCP] connected lAddr=127.0.0.1:50742 rAddr=edge.microsoft.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:17:02 INF [TCP] connected lAddr=127.0.0.1:50778 rAddr=fonts.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:02 INF [TCP] connected lAddr=127.0.0.1:50760 rAddr=fonts.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:02 INF [TCP] connected lAddr=127.0.0.1:50772 rAddr=fonts.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:03 INF [TCP] connected lAddr=127.0.0.1:50792 rAddr=content-autofill.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:03 INF [TCP] connected lAddr=127.0.0.1:50798 rAddr=api-edge.cognitive.microsofttranslator.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:17:03 INF [TCP] connected lAddr=127.0.0.1:50814 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:17:03 INF [TCP] connected lAddr=127.0.0.1:50804 rAddr=translate.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:03 INF [TCP] connected lAddr=127.0.0.1:50828 rAddr=safebrowsing.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:03 INF [TCP] connected lAddr=127.0.0.1:50844 rAddr=play.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:03 INF [TCP] connected lAddr=127.0.0.1:47150 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:05 INF [TCP] connected lAddr=127.0.0.1:47166 rAddr=lh3.googleusercontent.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:12 INF [TCP] connected lAddr=127.0.0.1:47168 rAddr=www.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:12 INF [TCP] connected lAddr=127.0.0.1:47170 rAddr=myaccount.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:13 INF [TCP] connected lAddr=127.0.0.1:47176 rAddr=clients4.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:13 INF [TCP] connected lAddr=127.0.0.1:41980 rAddr=gds.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:14 INF [TCP] connected lAddr=127.0.0.1:41984 rAddr=fonts.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:16 INF [TCP] connected lAddr=127.0.0.1:42000 rAddr=passwordsleakcheck-pa.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:16 INF [TCP] connected lAddr=127.0.0.1:41994 rAddr=play.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:21 INF [TCP] connected lAddr=127.0.0.1:42010 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:23 INF [TCP] connected lAddr=127.0.0.1:42014 rAddr=www.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:23 INF [TCP] connected lAddr=127.0.0.1:54332 rAddr=content-autofill.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:24 INF [TCP] connected lAddr=127.0.0.1:54342 rAddr=adservice.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:37 INF [TCP] connected lAddr=127.0.0.1:55042 rAddr=api.github.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:46 INF [TCP] connected lAddr=127.0.0.1:41062 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:48 INF [TCP] connected lAddr=127.0.0.1:41068 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:50 INF [TCP] connected lAddr=127.0.0.1:41076 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:51 INF [TCP] connected lAddr=127.0.0.1:41078 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:51 INF [TCP] connected lAddr=127.0.0.1:41086 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:51 INF [TCP] connected lAddr=127.0.0.1:41094 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:51 INF [TCP] connected lAddr=127.0.0.1:41096 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:17:52 INF [TCP] connected lAddr=127.0.0.1:41108 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:01 INF [TCP] connected lAddr=127.0.0.1:47744 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:03 INF [TCP] connected lAddr=127.0.0.1:47758 rAddr=accounts.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:04 INF [TCP] connected lAddr=127.0.0.1:34274 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:04 INF [TCP] connected lAddr=127.0.0.1:34282 rAddr=cloudsearch.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:04 INF [TCP] connected lAddr=127.0.0.1:34306 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:04 INF [TCP] connected lAddr=127.0.0.1:34296 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:04 INF [TCP] connected lAddr=127.0.0.1:34322 rAddr=cloudsearch.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:06 INF [TCP] connected lAddr=127.0.0.1:34330 rAddr=google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:21 INF [TCP] connected lAddr=127.0.0.1:47316 rAddr=id.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:21 INF [TCP] connected lAddr=127.0.0.1:47326 rAddr=gitlab.gnome.org:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:18:22 INF [TCP] connected lAddr=127.0.0.1:47330 rAddr=chat.openai.com:443 mode=rule rule=IPCIDR(104.16.0.0/13) proxy=☁️ Cloudflare[🇺🇲 美国A01]
